GFORCEX,GFORCEY,GFORCEZ,ROT_X,ROT_Y,ROT_Z,GSR,HEARTRATE,SpO2 %,AMB TEMP MLX, OBJ TEMP MLX
-0.22,-0.06,0.88,-11.62,-1.02,-2.13,1004,0.00,0.00,28.31,31.55
-0.22,-0.06,0.88,-11.50,-1.05,-2.21,660,0.00,0.00,28.29,31.55
-0.21,-0.06,0.88,-11.50,-0.98,-2.01,964,0.00,0.00,28.31,31.53
-0.21,-0.06,0.88,-11.86,-0.98,-2.11,0,0.00,0.00,28.31,31.55
-0.22,-0.05,0.88,-11.62,-1.02,-2.05,828,0.00,0.00,28.31,31.61
-0.23,-0.05,0.86,-11.74,-1.20,-2.27,0,0.00,0.00,28.31,31.61
-0.22,-0.06,0.88,-11.74,-1.19,-2.10,0,0.00,0.00,28.31,31.61
-0.22,-0.06,0.88,-11.74,-1.25,-2.19,998,0.00,0.00,28.31,31.61
-0.22,-0.05,0.88,-11.74,-1.04,-2.20,0,0.00,0.00,28.31,31.55
-0.22,-0.06,0.88,-11.62,-1.08,-1.97,974,0.00,0.00,28.31,31.53
-0.22,-0.06,0.88,-11.62,-1.11,-2.06,997,0.00,0.00,28.31,31.55
-0.22,-0.05,0.88,-11.74,-1.12,-2.18,1002,0.00,0.00,28.31,31.53
-0.23,-0.06,0.86,-11.62,-1.11,-2.44,972,0.00,0.00,28.31,31.53
-0.22,-0.07,0.88,-11.62,-0.85,-2.12,0,0.00,0.00,28.31,31.55
-0.22,-0.06,0.88,-11.37,-0.92,-2.18,1010,0.00,0.00,28.31,31.49
-0.22,-0.06,0.87,-11.50,-1.02,-2.33,0,0.00,0.00,28.33,31.49
-0.22,-0.05,0.88,-11.37,-1.16,-2.09,0,0.00,0.00,28.33,31.49
-0.22,-0.06,0.88,-11.50,-1.01,-2.18,1010,0.00,0.00,28.33,31.53
-0.203,-2.11,0,0.00,0.00,28.33,31.49
-0.22,-0.06,0.88,-11.50,-1.05,-1.95,0,0.00,0.00,28.33,31.53
-0.22,-0.06,0.88,-11.50,-1.05,-2.10,1007,0.00,0.00,28.33,31.49
-0.23,-0.06,0.88,-11.50,-0.88,-2.18,0,0.00,0.00,28.33,31.49
-0.22,-0.06,0.87,-11.37,-0.80,-2.30,871,0.00,0.00,28.33,31.47
-0.23,-0.06,0.87,-11.86,-0.81,-1.98,1005,0.00,0.00,28.33,31.41
-0.21,-0.06,0.88,-11.74,-1.10,-2.10,1014,0.00,0.00,28.31,31.39
-0.22,-0.06,0.88,-11.74,-1.12,-2.13,966,0.00,0.00,28.31,31.35
-0.22,-0.06,0.88,-11.50,-0.98,-2.08,0,0.00,0.00,28.31,31.39
-0.22,-0.05,0.88,-11.74,-1.11,-1.97,1010,0.00,0.00,28.31,31.35
-0.22,-0.06,0.87,-11.50,-1.22,-2.00,0,0.00,0.00,28.31,31.29
-0.22,-0.06,0.88,-11.50,-1.11,-2.10,0,0.00,0.00,28.31,31.29
-0.22,-0.06,0.87,-11.62,-1.13,-2.14,995,0.00,0.00,28.31,31.29
-0.22,-0.06,0.87,-11.37,-1.15,-2.13,0,0.00,0.00,28.31,31.27
-0.22,-0.06,0.88,-11.62,-1.08,-2.15,941,0.00,0.00,28.31,31.27
-0.22,-0.06,0.87,-11.37,-1.21,-2.10,1007,0.00,0.00,28.29,31.27
-0.22,-0.06,0.87,-11.74,-0.98,-2.01,1007,0.00,0.00,28.31,31.27
-0.22,-0.06,0.87,-11.50,-1.09,-2.21,947,0.00,0.00,28.29,31.29
-0.22,-0.06,0.88,-11.62,-1.08,-2.04,0,0.00,0.00,28.31,31.33
-0.22,-0.06,0.87,-11.37,-1.05,-2.18,1000,0.00,0.00,28.31,31.33
-0.22,-0.06,0.87,-11.37,-1.00,-2.01,0,0.00,0.00,28.29,31.29
-0.22,-0.05,0.87,-11.62,-1.04,-2.26,0,0.00,0.00,28.31,31.33
-0.23,-0.06,0.87,-11.62,-1.17,-2.27,1006,0.00,0.00,28.31,31.33
-0.22,-0.06,0.87,-11.50,-0.91,-2.11,0,0.00,0.00,28.31,31.33
-0.22,-0.06,0.87,-11.74,-0.98,-2.23,977,0.00,0.00,28.31,31.39
-0.22,-0.74,-1.18,-1.93,999,0.00,0.00,28.31,31.35
-0.22,-0.06,0.88,-11.37,-1.12,-2.13,0,0.00,0.00,28.31,31.35
-0.22,-0.05,0.87,-11.50,-1.10,-1.94,959,0.00,0.00,28.31,31.39
-0.23,-0.06,0.88,-11.74,-0.95,-2.11,983,0.00,0.00,28.31,31.39
-0.22,-0.06,0.86,-11.62,-0.93,-2.11,1007,0.00,0.00,28.31,31.39
-0.22,-0.06,0.88,-11.62,-1.02,-2.15,973,0.00,0.00,28.31,31.41
