-0.05,-0.05,0.90,-15.89,-1.11,-2.27,505,0.00,0.00,26.15,27.29
-0.06,-0.06,0.89,-15.65,-0.92,-2.34,506,0.00,0.00,26.15,27.35
-0.05,-0.06,0.89,-15.77,-1.09,-2.12,509,0.00,0.00,26.15,27.35
-0.06,-0.06,0.89,-15.89,-0.95,-2.24,505,0.00,0.00,26.15,27.31
-0.06,-0.05,0.90,-15.89,-0.86,-1.98,502,0.00,0.00,26.15,27.29
-0.06,-0.06,0.89,-15.77,-1.06,-2.00,503,0.00,0.00,26.15,27.35
-0.05,-0.05,0.89,-15.89,-1.12,-2.15,505,0.00,0.00,26.15,27.41
-0.06,-0.05,0.89,-15.77,-0.94,-2.08,506,0.00,0.00,26.13,27.47
-0.05,-0.06,0.89,-15.89,-1.17,-2.47,507,0.00,0.00,26.13,27.47
-0.05,-0.05,0.90,-15.65,-1.05,-2.09,503,0.00,0.00,26.13,27.43
-0.06,-0.06,0.89,-15.77,-0.97,-2.17,510,0.00,0.00,26.13,27.49
-0.06,-0.05,0.89,-15.89,-0.96,-2.15,513,0.00,0.00,26.13,27.49
-0.06,-0.05,0.89,-16.02,-1.02,-1.90,506,0.00,0.00,26.13,27.53
-0.08,-0.00,0.81,-15.65,-1.23,-1.39,515,0.00,0.00,26.13,27.53
-0.05,-0.05,0.88,-15.77,-0.98,-2.43,508,0.00,0.00,26.11,27.47
-0.05,-0.06,0.89,-15.65,-1.20,-2.08,503,0.00,0.00,26.13,27.49
-0.06,-0.04,0.90,-15.77,-0.85,-2.23,509,0.00,0.00,26.13,27.53
-0.06,-0.05,0.89,-15.89,-1.01,-2.17,507,0.00,0.00,26.13,27.47
-0.06,-0.06,0.88,-15.77,-1.10,-2.15,508,0.00,0.00,26.13,27.43
-0.06,-0.05,0.89,-15.89,-1.24,-1.85,504,0.00,0.00,26.13,27.43
-0.05,-0.06,0.88,-15.89,-0.98,-2.07,502,0.00,0.00,26.13,27.43
